#freq	Trx	G	eps 
1000.00	19.63	2.23	0.01
1100.00	19.94	2.16	0.01
1150.00	19.80	2.08	0.01
1200.00	19.89	2.05	0.01
1300.00	19.69	2.03	0.01
1400.00	19.17	1.99	0.01
1500.00	19.35	2.08	0.01
1600.00	18.41	2.01	0.01
1700.00	18.86	2.17	0.01
1730.00	18.47	2.16	0.01
1800.00	17.88	2.14	0.01
1900.00	18.20	2.13	0.01
